												
												
№	РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ)											
	ОБЩАЯ ХАРАКТЕРИСТИКА				КООРДИНАТЫ					РЕГИСТРАЦИЯ ТЕРРИТОРИИ		
532	Округ Ван(ベイエリア)	Город в стиле Токио состоящий из трёх районов, распологающийся в заливе.(Вся территория размечена блокам)	SwagBeast69_	нет	15982	2081	500	1989	248	19.01.2024		FALSE
533	Грибник Флоу	Самый большой грибной остров колонизированный городом Флоу	kengarags	нет	-35200	28000	2000	-4400	3500	21.01.2024		FALSE
534	Округ Ван	Округ Ван-город базированный на центральных районах Токио, а также его агломерации. В городе планируется 3 основных района	SwagBeast69_	Нет	20824	-5314	600	2603	-660	23.01.2024		FALSE
535	Н-град	национальное достояние сервера сп5 славный городок Н-град	toshun_iz_NGRADA	Да	-5064	-9681	500	-633	-1215	23.01.2024		FALSE
536	Ушкотопия	Территория под город.	Youipun	Нет	-27123	969	1500	-3399	176	26.01.2024	-	TRUE
537	AsariTeam	-	AsariOwner	ДА	11300	-8300	1500	1412	-1038	26.01.2024		TRUE
538	Сателлит Города Уродов "Водный карьер"	Водный карьер	HACPAL13MoyKotik		-23672	-17125	1000	-2963	-2140	26.01.2024		FALSE
539	Мейнтекри	-	Chmosha	Да	-9413	-104	1200	-1180	-14	02.02.2024		TRUE
540	Консолмун	Раньше это был город с лесной чащей. Теперь от этого остались только руины. В зданиях живут культисты в лесу водятся монстры беги пока дышишь.	CrAsTy	да	34938	0	1000	4368	1	05.02.2024		FALSE
541	СИТИ-17	-	Boris_Nadezhdin		16217	25595	2000	2027	3074	07.02.2024		FALSE
542	запретка кукиша	СЕКС ДОМИК KUKK1	KUKK1	нет	28507	-3797	900	3556	-470	08.02.2024		FALSE
543	Rosenbourg	Уютный западноевропейский городок, строящийся на принципах всенародной демократии.	Jeleiaka	Да	17587	-6350	875	2228	-846	10.02.2024		FALSE
544	Метро-Сити	старая заброшеная шахта метро2	KysokP		-180	-7208	400	-15	-890	10.02.2024		FALSE
546	Терра YPTA_	терра с фермамы складом личними ресами	ThePristol	Да	37017	3446	500	4629	429	15.02.2024		FALSE
546	Бирюзовая Гавань	Город учёных в стиле морского модерна	Gribosvet	Да	7491	5000	550	964	698	16.02.2024	-	FALSE
547	        Бибки		alekseev1ch		4000	2400	250	500	300	18.02.2024		FALSE
548	Нью-Крони	Волшебный городок сказок	McQejathOFF	Да	12409	3984	850	1554	498	19.02.2024		TRUE
549	ОПБ	Организация против  банд.	ProstoSlogno	Да	-3254	9086	2000	-402	1137	19.02.2024		FALSE
550	VirysLend	-	JUSTINHAJHJAHJHA	Да	37	-37486	2000	4	-4686	25.02.2024		TRUE
551	BubbleCity	Город состоящей из сладостей и позитива	Danotello	Да	7382	-1816	700	784	229	20.02.2024	-	TRUE
552	Мой подвал	Тут живут мои подвалыши	kanfi_		-3200	-6200	100	-397	-775	21.02.2024		FALSE
553	OnyPrism	Футуристический остров, занимающийся медициной.   	OnyTryss	Да	-11000	-24000	1000	-1500	3000			TRUE
554	Подвальчик Канфи	-	kanfi_	Да	-2541	-14549	500	-312	-1808	29.02.2024		TRUE
555	Солепач	Город со стимпанк стилистикой	Shaylushai	Нет	-563	-36660	750	-70	-4582	01.03.2024		FALSE
556	Генштаб	-	cuteshamilik	Да	-1054	-9487	1500	-140	-1177	01.03.2024	-	TRUE
557	Подвальчик Канфи	https://discord.gg/Uyqnzjpkzk	kanfi_	Да	-30300	-2525	600	-3795	-301	01.03.2024	-	TRUE
558	Мурбург	Город для котят и других. Подразумевается как город для Фурри,но вступить может каждый	LazarusDreik		-25440	-3805	1000	-3166	-478			FALSE
559	Подвальчик Канфи	владелец felix0012 который живёт в подвале	Felix0012	Да	6000	-8100	601	700	-1010	02.03.2024		TRUE
560	ТитькаГрад	любители больших...	kuixl	Да	-224	-36163	1500	-22	-4533	05.03.2024		TRUE
561	Тера HONDЫ	Территория красивая унаследовал ее да.	_Tipsik_mur420	Нет	7780	-24869	500	973	-3100	06.03.2024		FALSE
562	НАХОДКА	-	nikolskiy	Нет	-300	-7300	300	-37	-918	08.03.2024		FALSE
563	С ЗОМБИБВЕ С	-	nikolskiy	Нет	7279	9815	300	910	1217	08.03.2024		TRUE
564	ZAZNAYA	Напас лютый хапаем постоянно вход 1000ар выход 2000ар	W1ry	Да	10130	30221	2000	1273	3787	08.03.2024		FALSE
565	Министерство хайпа	-	BLYADSTV0	Нет	4130	-1270	1000	516	-157	10.03.2024	-	FALSE
566	Дурабейз	Хайповое место для жительства.	dyrachito	Нет	1822	-37122	250	227	4640	10.03.2024	-	FALSE
567	Ильверморни	Школа волшебства и чародейства	Cera_Hogwarts	Нет	-15333	-33427	2000	-1924	-4170	12.03.2024		FALSE
568	Гикбаровск	Город слакдкого пара и густой жижки	Voolser	Нет	-27770	-7180	1000	-3475	-897	13.03.2024	-	FALSE
569	Делламур	-	Gorynex	Да	21430	2521	800	2693	314	15.03.2024		TRUE
570	ХАЙП CITY	САМЫЙ ХАЙПОВЫЙ ГОРОД НА СВЕТЕ КУНЕМ ВОРОТ СПАСАЙ СВОЙ ГОРОД	chipollone	Нет	-3975	-12568	200	-12	-1571	16.03.2024	-	FALSE
571	Ленинград	Город, в стиле советской эпохи 60-ых	Serpow		1241	17688	700	5	2155	16.03.2024		FALSE
572	Посёлок городского типа	Город топи, чил дрил пил, реальный свег, +вайб. Вступайте!	Dokedo_	Нет	-1518	14598	342	-189	1818	20.03.2024	-	FALSE
573	Пусто	Город додошки	Stas_IKakProsto	Да	11904	0	500	1488	0	22.03.2024	-	TRUE
574	НДРХ	Легион BC Коалиции "Бирюзовая Заря Хайграунда"	TsarKhranitel	Нет	-6300	3100	150	-780	375	11.01.2023		FALSE
575	БобраСИТИ	Живут талантливые бобры бобры умельцы готовые выгрысть любое дерево за вознагрождение	Mladshiyy	Нет	-1850	200	200	-216	12	24.03.2023		FALSE
576	Приватная База	Просто база для одного человека	Bulat_SP	Нет	-26179	236	150	-3274	21	28.03.2024		FALSE
577	Гора	Гора игроков bobrin0 и Mozzit	bobrin0 Mozzit	Да	955	6216	500	119	777	28.03.2024	-	FALSE
578	krematoriy	Территория там база все дела	MayScrenson	Нет	5239	-239	300	666	-42	28.03.2024		FALSE
579	МАКСИ СИТИ	Очень ламповы город. Основная тематика - кино и все что с ним связано. По поводу вступления писать Мэру	_GoldTerby_	нет	-3068	522	1350	-24550	4180	01.04.2024		FALSE
580	Армадилдо	Ковбойский городок для отыгрывания рп	satretar	Нет	-27897	7206	1500	-3483	908	03.04.2024	-	FALSE
581	Катарсис	Город, совмещающий греческиий стиль	Kontep		3800	4700	1000	475	512	03.04.2024		FALSE
582	NewChina	Город в подвале	mrKAMEH	Да	-882	-7816	150	-110	-977	05.04.2024		FALSE
583	Дурабейз 2.0	Хайповая база	dyrachito	Нет	4301	-14631	500	537	-1828	06.04.2024	-	FALSE
584	HCDAP 	HCDAP 	HCDAP_Iz_HCDAPA1	Да	-17100	6100	2000	-2137	762	06.04.2024		FALSE
585	Нови Город	Нови Город	Chisserine	да	15620	-8044	950	1952	-1005	07.04.2024		FALSE
586	Гондэм	Територия Города 	 bobrin0	Да	953	6215	500	117	777	07.04.2024	-	FALSE
587	Стрельцовка	село на севере страны с довольно тёплым климатом	rJlucT	нет	680	-30165	200	85	-3770	10.04.2024		FALSE
588	СШ (Союз Школьников)	это типо город,там кайфово,особенно спавн в виде члена	ssssssalam	нет	-23195	-435	800	-2900	-53	10.04.2024		FALSE
589	777	-	Mozzit	нет	2240	-6300	200	280	-787	12.04.2024		FALSE
590	Гиперборея	Великий город Вед и ариев. Блинолопатные праздники, славление бога Пердуна и защита родины от Ящеров!!!	Animun4ik	Нет	4438	20386	1500	544	2551	14.04.2024	-	FALSE
591	Кур-де-Фонтейн	Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости 	DizWasTaken		-16000	22000	2000	-2000	2750	14.04.2024		FALSE
592	Свэээгград	Свэээээээээг	MrKulebyak		-13960	-16950	1400	-1745	-2118	13.04.2024		FALSE
593												FALSE
594	Wirevor Град		Wirevor	нет	-13559	7954	1000	-1698	995	16.04.2024		FALSE
	SnowLand	Снежный город	Ckrasti_	нет	4397	-30465	1100	549	-3808	21.04.2024		FALSE
595	Траходром	Самая базированная база на всем сп	TonyBunGas	да	-7500	-15300	700	-839	-1919	15.07.2023		FALSE
596	Dopamine Hotel	Отель Dopamine, позволит вам иметь жильё, по очень демократичным ценам иметь место, где вы можете остаться на сколько вы Пожелаете!	Bulat_SP	нет	-26009	81	100	-3245	17	25.04.2024		FALSE
597	МЭШленд	Обычный маленький пещерный городок для крыс,мышей. Обычно туда заселяются исключительно мыши/крыси, другим запрет.	Bomberiks	да	-284	-9212	67	-22	-1148	25.04.2024		FALSE
598	Правило трех сигм	База трех прикольных игроков	Ustaz1505	нет	14400	11120	650	1825	1390	03.05.2024	-	FALSE
599	CRISTALIX CITY	САМыЙ пиздатый city ever	Cristalix_gg	да	-3957	3112	200	-493	392	06.05.2024		FALSE
600	Дертонскай	Миленький городок с добреньким коллективом и красивой архитектурой	_StarkOff_		-189	-9565	200	-14	-1198	07.05.2024		FALSE
601	Актиний	-	Loma2000		18254	-3615	1000	2282	452	14.10.2023		FALSE
602	BusyCity	Город, наполненный бизнес-центрами, офисами, заводами и так далее.	Heleg		20000	14000	1000	2431	1750	09.05.2024	https://vk.com/topic-131054616_48663772?offset=400	FALSE
603	Эквестрия	Полнолстью перестроенная карта Эквестрии из мульт-сериала MLP.	sh1zukA11	нет	-9700	9700	2000	-1200	1200	13.05.2024		TRUE
604	Филиция 	Город свободы, обнесенный белыми стенами.	Awakado_	Да	11153	10854	600	1300	1300	20.05.2024	-	TRUE
605	"OTS"	Тут Единороги пьют пиво	razdorozhnaia	нет	5800	-5800	260	707	-727	06.04.2024	-	FALSE
606	Эльфейм	Разьеб. Город топ вступайте). Здесь живет Лера Фовна	lIl_Kuzi	да	-1332	-838	320	-160	-100	22.05.2024		FALSE
607	Doza	город в стиле ниндерланда	SirPoMiDoR4ik		-6763	6247	1000	-847	794	22.05.2024		FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
												FALSE
